uuid,position,team_name,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,form
0e25462c-4ba1-41ea-b318-f08052723f6d,1,Manchester City,2,2,0,0,6,1,5,6,WW
f303a5c8-17fb-4837-a0e1-a420b23f7b46,2,Brighton & Hove Albion,2,2,0,0,5,1,4,6,WW
c557f48e-c6fd-4020-b1fb-e07b9bb1a529,3,Arsenal,2,2,0,0,4,0,4,6,WW
bfafb665-3326-4c60-adf3-87d426fc12e3,4,Tottenham Hotspur,2,1,1,0,5,1,4,4,DW
cf0ab706-e193-4b07-8abf-ae8def4197e3,5,Nottingham Forest,2,1,1,0,2,1,1,4,DW
dc4d104f-4704-49cb-bed9-2c7c75af3fa6,6,Liverpool,1,1,0,0,2,0,2,3,W
62dba7eb-cc20-4713-b23a-c9af35cae96f,7,West Ham United,2,1,0,1,3,2,1,3,LW
1a5443f6-4598-4d5d-9d24-279531626d4f,8,Brentford,1,1,0,0,2,1,1,3,W
3f59c5f2-2658-4443-acf2-ffa772897431,9,Newcastle United,1,1,0,0,1,0,1,3,W
dffaa26c-0996-409f-b122-a829579a64c3,10,Fulham,2,1,0,1,2,2,0,3,LW
04ea4f6a-15dc-467a-90b9-3b910170deb1,11,Manchester United,2,1,0,1,2,2,0,3,WL
eff9a3ac-26c3-4343-9ff8-1b9019623b4d,12,Aston Villa,2,1,0,1,2,3,-1,3,WL
84801570-c1c6-4b50-b4e3-363435379caa,13,AFC Bournemouth,1,0,1,0,1,1,0,1,D
0ddda170-7093-417c-82a2-2901c2df10ad,14,Leicester City,2,0,1,1,2,3,-1,1,DL
698bb1bf-4d7d-4db7-8f90-b7850a1ee6ee,15,Chelsea,1,0,0,1,0,2,-2,0,L
f7a009b7-5e0e-43dc-b670-0ff944459d7b,16,Southampton,2,0,0,2,0,2,-2,0,LL
e1d9c80a-bbce-4ee2-9618-6dc208001c65,17,Wolverhampton Wanderers,1,0,0,1,0,2,-2,0,L
6caf4679-0c16-4e68-bbc8-26b97bf6b1ae,18,Crystal Palace,2,0,0,2,1,4,-3,0,LL
85f5f387-9901-42df-b2e8-01dce6d03667,19,Ipswich Town,2,0,0,2,1,6,-5,0,LL
b622e48b-fd19-4c32-876e-89ba5726dd3e,20,Everton,2,0,0,2,0,7,-7,0,LL
